Latitude,Longitude,DepthKm,Magnitude,Year,Month,Day,Hour,Minute,Second
-30.74,-177.96,37.5,5,2014,2,21,17,51,41
-32.39,-178.8,36.2,5.2,2014,2,20,5,18,23
-34.95,-179.36,29.6,5.3,2014,2,18,8,14,42
-30.26,-177.93,39.3,5.6,2014,2,17,1,06,06
-21.19,-174.14,10,5,2014,2,10,13,15,08
-30.57,-177.79,7.1,5,2014,2,7,16,56,38
-21.94,-177.98,358.5,5.1,2014,2,6,8,27,31
-33.68,-178.1,9.9,5.1,2014,2,2,18,11,58
-32.9,-177.82,19.4,6.6,2014,2,2,9,26,35
-25.2,-177.52,119.1,5,2014,2,2,5,41,15
-15.19,-173.58,9.5,5.2,2014,1,26,10,39,32
-21.32,-173.98,5.7,5,2014,1,24,18,06,34
-19.89,-173.56,9.2,5.1,2014,1,21,20,47,12
-15.25,-175.05,10,5.9,2014,1,21,1,29,13
-32.2,-177.74,8.1,5,2014,1,14,17,23,48
-31.41,-179.6,198.2,5.6,2014,1,10,2,22,55
-21.85,-176.46,143.1,5.1,2014,1,7,16,52,29
-35.49,-179.19,61,5,2014,1,1,14,23,04
-15.66,-172.85,23.3,5.1,2013,12,31,8,36,30
-18.19,-174.41,59.7,5.8,2013,12,28,19,06,13
-20.8,-178.67,583.8,5.4,2013,12,17,17,02,00
-15.97,-171.07,10,5.2,2013,12,9,0,03,18
-18.87,-174.55,87.1,5,2013,12,8,11,26,08
-25.47,178.22,579.1,5.8,2013,12,4,14,55,40
-30,-176.09,10,5,2013,12,4,14,10,09
-17.55,-178.32,534.5,5.4,2013,12,1,10,01,32
-26.74,-176.39,33.3,5,2013,11,29,12,05,23
-26.65,-175.7,35.2,5.2,2013,11,29,11,53,00
-21.72,-179.34,596.8,5.2,2013,11,24,11,09,59
-24.47,179.26,531.2,5.1,2013,11,24,8,47,50
-17.1,-176.56,377,6.5,2013,11,23,7,48,32
-30.43,-179.51,334.5,5.2,2013,11,18,22,23,28
-28.38,-176.92,10,5.4,2013,11,9,14,53,28
-18.56,-175.45,213.9,5.1,2013,11,3,17,10,24
-19.25,-172.47,10,5.7,2013,11,3,10,08,56
-19.24,-172.39,6.8,5.2,2013,11,2,19,13,35
-19.18,-172.69,10,5.4,2013,11,2,19,05,57
-19.16,-172.64,10,6.4,2013,11,2,18,53,47
-20.74,-178.47,543.1,5.1,2013,11,1,3,24,09
-20.02,-178.29,571.2,5.1,2013,10,29,11,01,54
-25.97,-177.15,71.7,5,2013,10,29,8,21,53
-19.36,-173.77,10,5.4,2013,10,25,17,54,31
-16.69,-173.73,10,5,2013,10,25,3,21,19
-22.5,-176.51,88.9,5.4,2013,10,24,20,32,41
-31,-178.27,35,5.6,2013,10,24,0,25,45
-22.54,179.22,557.7,5,2013,10,23,16,32,38
-23.01,-177.18,155.4,5.5,2013,10,23,8,23,29
-22.88,-174.89,24.3,5.4,2013,10,21,4,01,57
-18.44,-178.04,548.1,5,2013,10,14,16,09,10
-18.97,178.89,56.8,5.1,2013,10,13,7,15,24
-30.48,-176.61,32.4,5.2,2013,10,12,15,49,03
-30.75,-178.44,146.5,6.3,2013,10,11,21,24,58
-24.6,-179.37,510.8,5,2013,10,10,10,43,51
-30.54,-177.78,1,5,2013,10,5,14,35,15
-30.82,-178.26,34.9,5.1,2013,10,4,8,31,56
-29.53,-178.44,194.2,5,2013,10,3,17,32,43
-20.87,-174.95,40.2,5.4,2013,9,30,22,41,03
-30.96,-178.24,34.7,6.7,2013,9,30,5,55,54
-16.52,-173.87,51.9,5.7,2013,9,28,11,13,46
-24.45,-175.18,33.2,5.5,2013,9,24,23,38,26
-33.51,-178.09,10,5.6,2013,9,21,16,48,59
-24.75,178.7,527.1,5,2013,9,13,9,05,19
-15.21,-173.55,10,5,2013,9,7,16,39,50
-29.25,-176.33,10,5.6,2013,9,1,19,50,39
-19.32,-179.15,649,5.7,2013,8,29,13,52,26
-27.8,179.67,488.6,6.2,2013,8,28,2,54,41
-31.76,-179.21,10,5.1,2013,8,24,15,47,08
-22.74,-175.16,35.2,5.8,2013,8,24,8,40,32
-31.85,-178.85,69.4,5,2013,8,23,12,06,22
-30.39,-177.98,65.3,5.2,2013,8,18,21,27,01
-20.89,-173.85,58.4,5,2013,8,17,0,04,25
-16.46,-173.63,61.8,5,2013,8,14,7,59,24
-30.62,-179.72,343.4,6.1,2013,8,12,4,16,48
-29.18,-178.44,196.2,5,2013,8,11,10,33,56
-20.23,-176.48,251.9,5,2013,8,8,4,57,58
-15.28,-173.44,17,5.8,2013,8,1,20,01,41
-16.99,-177.09,10,5.1,2013,7,29,8,12,27
-23.12,179.15,567.9,5.1,2013,7,26,19,08,31
-23.06,-177.16,166.9,5.9,2013,7,24,3,32,35
-30.39,-176.24,15.6,5.7,2013,7,19,11,40,41
-15.44,-173.03,15,5.8,2013,7,15,13,59,04
-31.03,-179.17,181.4,5.2,2013,7,10,14,44,30
-30.42,-177.52,6.6,5.6,2013,7,10,14,44,00
-30.13,-177.47,10,5.5,2013,7,10,14,25,39
-29.04,-175.73,10,5.3,2013,7,10,9,29,11
-31.76,-178.72,77,5,2013,7,9,18,22,35
-32.3,-179.99,225.6,5.2,2013,7,3,20,13,34
-30.61,-178.11,61.8,5.3,2013,7,3,15,09,02
-15.8,-173.8,42.8,5.5,2013,7,2,9,38,41
-21.02,-174.44,41.5,5.1,2013,6,19,9,39,33
-33.85,179.4,195,6,2013,6,15,11,20,36
-19.91,-173.72,7.2,5,2013,6,13,22,19,31
-23.89,179.09,546,5.9,2013,6,7,12,54,09
-23.06,-177.19,185.4,5.5,2013,6,1,1,34,14
-28.47,-178.52,212.8,5.3,2013,5,31,13,25,49
-21.4,-177.82,405.9,5,2013,5,28,8,45,53
-24.34,-174.92,10,5.8,2013,5,24,11,10,48
